code,population,area,density
E05001553,4032,62.42,64.6
E05001554,4104,198.68,20.7
E05001555,5385,106.83,50.4
E05001556,4117,89.57,46
E05001557,4163,96.72,43
E05001558,6516,197.47,33
E05001559,2985,381.26,7.8
E05001560,5997,206.03,29.1
E05001561,4160,140.87,29.5
E05001562,3341,95.16,35.1
E05001563,5278,115.89,45.5
E05001564,3849,6147.59,0.6
E05001565,3478,178.1,19.5
E05001566,3640,2383.64,1.5
E05001567,4181,64.82,64.5
E05001568,3782,276.49,13.7
E05001569,4650,1494.12,3.1
E05001570,3708,102.27,36.3
E05001571,6066,124.22,48.8
E05001572,4711,63.07,74.7
E05001573,6312,151.18,41.8
E05001574,3651,284.42,12.8
E05001575,5450,68.53,79.5
E05001576,2008,6718.16,0.3
E05007955,7774,799.19,9.7
E05007956,6280,1336.23,4.7
E05007957,7751,336.6,23
E05007958,7457,287.99,25.9
E05007959,8642,17740.29,0.5
E05007960,8284,52268.7,0.2
E05007961,6159,507.34,12.1
E05007962,6637,234.68,28.3
E05007963,7760,579.18,13.4
E05007964,7405,2986.06,2.5
E05007965,9566,1114.82,8.6
E05007966,7935,1479.19,5.4
E05007967,8313,374.62,22.2
E05007968,8236,1075.96,7.7
E05007969,7678,427.93,17.9
E05007970,8647,3312.14,2.6
E05007971,8659,295.5,29.3
E05007972,7139,1832.17,3.9
E05007973,7027,2850.06,2.5
E05007974,7669,973.41,7.9
E05007975,7671,3412.87,2.2
E05007976,8252,656.23,12.6
E05007977,7220,399.08,18.1
E05007978,9357,3724.5,2.5
E05007979,12225,940.69,13
E05007980,7051,159.52,44.2
E05007981,6546,2237.96,2.9
E05007982,7693,2284,3.4
E05007983,10175,672.36,15.1
E05007984,6570,5328.92,1.2
E05007985,8114,13603.74,0.6
E05007986,8942,870.62,10.3
E05007987,11100,2809.54,4
E05007988,8074,385.21,21
E05007989,8087,475.04,17
E05007990,7446,12556.43,0.6
E05007991,9514,2588.03,3.7
E05007992,7537,1617.25,4.7
E05007993,7975,1094.84,7.3
E05007994,9940,764.03,13
E05007995,7323,168.74,43.4
E05007996,7490,1271.06,5.9
E05007997,8250,923.6,8.9
E05007998,7234,327.6,22.1
E05007999,7438,208.01,35.8
E05008000,6613,1067.73,6.2
E05008001,8419,1028.45,8.2
E05008002,6879,9473.55,0.7
E05008003,9108,3433.63,2.7
E05008004,8800,724.09,12.2
E05008005,7020,1203.83,5.8
E05008006,9222,2260.67,4.1
E05008007,9648,1251.23,7.7
E05008008,9053,692.59,13.1
E05008009,8270,1190.36,6.9
E05008010,7085,1256.68,5.6
E05008011,7370,2017.16,3.7
E05008012,8976,923.11,9.7
E05008013,8063,39592.76,0.2
E05008014,8509,1147.35,7.4
E05008015,9147,2847.05,3.2
E05008016,10302,1975.7,5.2
E05008017,8516,228.39,37.3
E05001465,6779,248.91,27.2
E05001466,5688,78.15,72.8
E05001467,4952,91.43,54.2
E05001468,2061,4120.92,0.5
E05001469,4871,99.36,49
E05001470,4497,67.73,66.4
E05001471,5222,59.78,87.4
E05001472,2132,1172.1,1.8
E05001473,6913,234.06,29.5
E05001474,5691,112,50.8
E05001475,5934,454.31,13.1
E05001476,6285,225.45,27.9
E05001477,6353,444.44,14.3
E05001478,5708,269.75,21.2
E05001479,6865,1330.67,5.2
E05001480,6105,228,26.8
E05001481,5972,149.05,40.1
E05001482,6027,202.76,29.7
E05001483,6515,243.12,26.8
E05001484,4772,107.3,44.5
E05001485,5932,207.92,28.5
E05001486,5712,328.78,17.4
E05001487,5346,118.22,45.2
E05001488,8967,408.61,21.9
E05001489,8584,113.07,75.9
E05001490,5954,147.35,40.4
E05001491,5074,264.53,19.2
E05001492,5583,126.64,44.1
E05001493,9711,167.6,57.9
E05001494,6268,171.51,36.5
E05001495,4728,271.86,17.4
E05001496,5305,238.17,22.3
E05001497,4906,498.17,9.8
E05001498,4866,664.98,7.3
E05001499,6069,156.83,38.7
E05001500,5919,106.71,55.5
E05001501,6254,119.41,52.4
E05001502,2890,497.71,5.8
E05001503,6290,149.27,42.1
E05001504,6740,76.95,87.6
E05008018,4766,153.88,31
E05008019,4565,1029.37,4.4
E05008020,4172,4141.43,1
E05008021,4968,109.87,45.2
E05008022,4846,13594.67,0.4
E05008023,4294,409.15,10.5
E05008024,4844,213.47,22.7
E05008025,5657,932.75,6.1
E05008026,4074,85729.11,0
E05008027,4874,277.95,17.5
E05008028,4477,2115.18,2.1
E05008029,4066,1688.06,2.4
E05008030,4448,1230.08,3.6
E05008031,4534,4732.88,1
E05008032,5596,9566.91,0.6
E05008033,4792,567.62,8.4
E05008034,5128,163.36,31.4
E05008035,4191,5239.55,0.8
E05008036,4466,155.27,28.8
E05008037,5440,204.68,26.6
E05008038,4928,114.48,43
E05008039,5380,132.13,40.7
E05008040,3850,150.09,25.7
E05008041,4503,190.71,23.6
E05008042,5312,1494.92,3.6
E05008043,4692,87.95,53.3
E05008044,4832,23014.26,0.2
E05008045,4923,896,5.5
E05008046,4639,145.9,31.8
E05008047,4454,23065.73,0.2
E05008048,4353,1289.35,3.4
E05008049,4185,569.22,7.4
E05008050,4559,1687.54,2.7
E05008051,5572,492.57,11.3
E05008052,5039,643.86,7.8
E05008053,4568,33170.12,0.1
E05008054,4835,96.51,50.1
E05008055,5494,558.16,9.8
E05008056,5069,8709.98,0.6
E05008057,4424,20448.59,0.2
E05008058,4842,1855.3,2.6
E05008059,5207,305.29,17.1
E05008060,4416,359.7,12.3
E05008061,4115,230.01,17.9
E05008062,4710,629.99,7.5
E05008063,4742,542.88,8.7
E05008064,4438,29636.64,0.1
E05008065,3869,1607.72,2.4
E05008066,3998,72.95,54.8
E05008067,4600,8873.7,0.5
E05008068,4454,20629.95,0.2
E05008069,4295,2213.92,1.9
E05008070,4406,8564.64,0.5
E05008071,5829,557.79,10.5
E05008072,5024,336.09,14.9
E05008073,5316,64258.37,0.1
E05008074,4632,452.01,10.2
E05008075,5460,1296.94,4.2
E05008076,4925,9209.24,0.5
E05008077,3998,922.88,4.3
E05008078,4564,260.74,17.5
E05008079,4856,38142.65,0.1
E05008080,4672,405.89,11.5
E05008081,4799,3101.14,1.5
E05008082,5238,7616.14,0.7
E05008083,4548,138.02,33
E05008084,4266,49867.93,0.1
E05001505,7000,980.69,7.1
E05001506,5326,106.34,50.1
E05001507,6755,3394.47,2
E05001508,7005,455.12,15.4
E05001509,5088,198.22,25.7
E05001510,7622,3291.71,2.3
E05001511,7191,2032.12,3.5
E05001512,7045,155.79,45.2
E05001513,2022,3085.55,0.7
E05001514,6382,3945.21,1.6
E05001515,7061,863.38,8.2
E05001516,4359,92.6,47.1
E05001517,6930,264.3,26.2
E05001518,5942,360.55,16.5
E05001519,6115,371.09,16.5
E05001520,5958,307.54,19.4
E05001521,7454,1392.35,5.4
E05001522,6548,511.35,12.8
E05001523,6517,147.2,44.3
E05001524,7616,228.54,33.3
E05001525,4650,2208.89,2.1
E05001526,4591,96.5,47.6
E05001527,7244,161.23,44.9
E05001528,7574,442.86,17.1
E05001529,9141,198.54,46
E05001530,6762,2877.81,2.3
E05001531,5444,204.94,26.6
E05001532,6689,212.99,31.4
E05001533,10449,2217.62,4.7
E05001534,5736,198.17,28.9
E05001535,6717,193.8,34.7
E05001536,6881,203.22,33.9
E05001537,6615,463.06,14.3
E05001538,10165,1390.14,7.3
E05001539,10880,379.66,28.7
E05001540,11260,442.8,25.4
E05001541,7410,188.43,39.3
E05001542,3361,2718.19,1.2
E05001543,6700,147.55,45.4
E05001544,7843,306.14,25.6
E05001545,6286,247.45,25.4
E05001546,7840,494.34,15.9
E05001547,7500,175.5,42.7
E05001548,6518,330.8,19.7
E05001549,6512,395.81,16.5
E05001550,6963,200.03,34.8
E05001551,3375,3794.06,0.9
E05001552,9745,1807.92,5.4
E05001067,8367,381.22,21.9
